symbol,company_name,market_cap,cap_numeric,cap_score,cap_emoji
KHC,The Kraft Heinz Company Common Stock,32750190279.050003,32750190279.050003,3,🥉
KLAC,KLA Corporation Common Stock,115458281067.8,115458281067.8,2,🥈
KMB,Kimberly-Clark Corp.,44106824957.72,44106824957.72,3,🥉
KMX,CarMax Inc.,8668167499.52,8668167499.52,4,🟢
KO,Coca-Cola Company,300912414259.84,300912414259.84,1,🏆
KR,The Kroger Co.,46075950350.22,46075950350.22,3,🥉
KVUE,Kenvue Inc.,40684282304.0,40684282304.0,3,🥉
LEN,Lennar Corporation Class A,34175951614.35,34175951614.35,3,🥉
LKQ,LKQ Corporation,7968370156.24,7968370156.24,4,🟢
LOW,Lowe's Companies Inc.,141263916327.54,141263916327.54,2,🥈
LRCX,Lam Research Corp,125941945710.0,125941945710.0,2,🥈
LULU,lululemon athletica inc.,23784516297.86,23784516297.86,3,🥉
LVS,Las Vegas Sands Corp.,36835100497.96,36835100497.96,3,🥉
LW,"Lamb Weston Holdings, Inc.",7546058304.599999,7546058304.599999,4,🟢
LYV,Live Nation Entertainment Inc.,37327730880.44,37327730880.44,3,🥉
MAR,Marriott International Class A Common Stock,71990618902.8,71990618902.8,2,🥈
MCD,McDonald's Corporation,220453817795.62,220453817795.62,1,🏆
MCHP,Microchip Technology Inc,35462350918.57,35462350918.57,3,🥉
MDLZ,"Mondelez International, Inc. Class A",80328131176.95999,80328131176.95999,2,🥈
META,"Meta Platforms, Inc. Class A Common Stock",1972608850414.25,1972608850414.25,1,🏆
MGM,MGM RESORTS INTERNATIONAL,9777102228.64,9777102228.64,4,🟢
MHK,"Mohawk Industries, Inc.",7957855160.880001,7957855160.880001,4,🟢
MKC,"McCormick & Company, Incorporated Non-VTG CS",18705312539.1,18705312539.1,3,🥉
MNST,Monster Beverage Corporation,63116318136.96,63116318136.96,2,🥈
MO,"Altria Group, Inc.",110570422526.46,110570422526.46,2,🥈
MPWR,"Monolithic Power Systems, Inc.",39581301240.0,39581301240.0,3,🥉
MSFT,Microsoft Corp,3866510155364.4297,3866510155364.4297,1,🏆
MSI,"Motorola Solutions, Inc. New",76689438447.14,76689438447.14,2,🥈
MTCH,"Match Group, Inc",9211015787.16,9211015787.16,4,🟢
MU,"Micron Technology, Inc.",135268650957.87,135268650957.87,2,🥈
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,10982071141.2,10982071141.2,3,🥉
NFLX,NetFlix Inc,526462496376.7,526462496376.7,1,🏆
NKE,"Nike, Inc.",113677261779.24,113677261779.24,2,🥈
NOW,"SERVICENOW, INC.",179968777560.0,179968777560.0,2,🥈
NTAP,"NetApp, Inc",21768757481.57,21768757481.57,3,🥉
NVDA,Nvidia Corp,4400734672379.25,4400734672379.25,1,🏆
NVR,"NVR, Inc.",22754161440.0,22754161440.0,3,🥉
NWS,News Corporation Class B Common Stock,19209477432.62,19209477432.62,3,🥉
NWSA,News Corporation Class A Common Stock,16635418746.38,16635418746.38,3,🥉
NXPI,NXP Semiconductors N.V.,57678777044.1,57678777044.1,2,🥈
OMC,Omnicom Group Inc.,14782993659.59,14782993659.59,3,🥉
ON,ON Semiconductor Corp,20894481251.280003,20894481251.280003,3,🥉
ORCL,Oracle Corp,697377057240.0,697377057240.0,1,🏆
ORLY,"O'Reilly Automotive, Inc.",86156352887.20001,86156352887.20001,2,🥈
PANW,"Palo Alto Networks, Inc. Common Stock",118284740550.78,118284740550.78,2,🥈
PEP,"PepsiCo, Inc.",205909211481.6,205909211481.6,1,🏆
PG,Procter & Gamble Company,361568462887.68005,361568462887.68005,1,🏆
PHM,"Pultegroup, Inc.",25390224798.06,25390224798.06,3,🥉
PLTR,Palantir Technologies Inc. Class A Common Stock,420307906728.57,420307906728.57,1,🏆
PM,Philip Morris International Inc.,258689581916.03,258689581916.03,1,🏆
POOL,Pool Corporation,12007069074.0,12007069074.0,3,🥉
PSKY,Paramount Skydance Corporation Class B Common Stock,9250365408.48,9250365408.48,4,🟢
PTC,"PTC, INC",24658130191.36,24658130191.36,3,🥉
QCOM,Qualcomm Inc,170320150000.0,170320150000.0,2,🥈
RCL,Royal Caribbean Group,85277503857.0,85277503857.0,2,🥈
RL,Ralph Lauren Corporation,17603492092.02,17603492092.02,3,🥉
ROP,"Roper Technologies, Inc. Common Stock",56996585743.36,56996585743.36,2,🥈
ROST,Ross Stores Inc,48059742355.74,48059742355.74,3,🥉
SBUX,Starbucks Corp,102985020000.0,102985020000.0,2,🥈
SJM,The J.M. Smucker Company,11816283953.76,11816283953.76,3,🥉
SMCI,"Super Micro Computer, Inc. Common Stock",27077616599.02,27077616599.02,3,🥉
SNPS,Synopsys Inc,114340312502.85,114340312502.85,2,🥈
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),32843736598.54,32843736598.54,3,🥉
STZ,"Constellation Brands, Inc.",29657839691.38,29657839691.38,3,🥉
SWKS,Skyworks Solutions Inc,11060822367.36,11060822367.36,3,🥉
SYY,Sysco Corporation,37970501163.84,37970501163.84,3,🥉
T,AT&T Inc.,206431628807.6,206431628807.6,1,🏆
TAP,Molson Coors Beverage Company Class B,10166942472.84,10166942472.84,3,🥉
TDY,Teledyne Technologies Incorporated,25248049518.06,25248049518.06,3,🥉
TEL,TE Connectivity plc,59897053040.61,59897053040.61,2,🥈
TER,"Teradyne, Inc. Common Stock",17405825871.44,17405825871.44,3,🥉
TGT,Target Corporation,46808775121.02,46808775121.02,3,🥉
TJX,"TJX Companies, Inc. (The)",147952944054.88,147952944054.88,2,🥈
TKO,"TKO Group Holdings, Inc.",15511550921.1,15511550921.1,3,🥉
TMUS,"T-Mobile US, Inc.",286565449645.94,286565449645.94,1,🏆
TPR,"Tapestry, Inc. Common Stock",20966374284.72,20966374284.72,3,🥉
TRMB,Trimble Inc. Common Stock,19570578208.32,19570578208.32,3,🥉
TSCO,Tractor Supply Co,32056776457.81,32056776457.81,3,🥉
TSLA,"Tesla, Inc. Common Stock",1066204384747.84,1066204384747.84,1,🏆
TSN,"Tyson Foods, Inc.",20207701181.6,20207701181.6,3,🥉
TTD,"The Trade Desk, Inc.",25483702332.28,25483702332.28,3,🥉
TTWO,Take-Two Interactive Software Inc,42830293822.16,42830293822.16,3,🥉
TXN,Texas Instruments Incorporated,176890818972.33,176890818972.33,2,🥈
TYL,"Tyler Technologies, Inc.",24747053174.3,24747053174.3,3,🥉
ULTA,"Ulta Beauty, Inc. Common Stock",23416660205.0,23416660205.0,3,🥉
VRSN,VeriSign Inc,25210045434.66,25210045434.66,3,🥉
VZ,Verizon Communications,186530209505.92,186530209505.92,2,🥈
WBA,"Walgreens Boots Alliance, Inc",10352105673.0,10352105673.0,3,🥉
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock",29337901541.7,29337901541.7,3,🥉
WDAY,"Workday, Inc. Class A Common Stock",60274689640.0,60274689640.0,2,🥈
WDC,Western Digital Corp.,26039974777.56,26039974777.56,3,🥉
WMT,Walmart Inc.,798041816400.0,798041816400.0,1,🏆
WSM,"Williams-Sonoma, Inc.",24996895937.03,24996895937.03,3,🥉
WYNN,Wynn Resorts Ltd,11380231317.95,11380231317.95,3,🥉
YUM,"Yum! Brands, Inc.",41125239433.28,41125239433.28,3,🥉
ZBRA,Zebra Technologies Corporation,16163673502.9,16163673502.9,3,🥉
